April	thang Tu
back	lung, ve phia sau, tro lai
background	phia sau; nen
backward	ve phia sau, lui lai
bacteria	vi khuan
bad	xau, toi
bad-tempered	xau tinh, de noi cau
badly	xau, toi
bag	bao, tui, cap xach
baggage	hanh ly
bake	nung, nuong bang lo
balance	cai can; lam cho can bang, tuong xung
ball	qua bong
ban	cam, cam chi; su cam
band	bang, dai, nep
bandage	dai bang; bang bo
bank	bo (song…) , de
bar	quan ban ruou
bargain	su mac ca, su giao keo mua ban
barrier	dat chuong ngai vat
base	co so, co ban, nen mong; dat ten, dat co so tren cai gi
based on	dua tren
basic	co ban, co so
basically	co ban, ve co ban
basis	nen tang, co so
bath	su tam
bathroom	buong tam, nha ve sinh
battery	pin, ac quy
battle	tran danh, chien thuat
bay	gian (nha), nhip (cau), chuong (ngua); bays: vong nguyet que
be going to	sap sua, co y dinh
be sick	bi om
beach	bai bien
beak	mo chim
bear	mang, cam, vac, deo, om
beard	rau
beat	tieng dap, su dap; danh dap, dam
beautiful	dep
beautifully	tot dep, dang hai long
beauty	ve dep, cai dep
because	boi vi
become	tro thanh, tro nen
bed	cai giuong
bedroom	phong ngu
beef	thit bo
beer	ruou bia
before	truoc, dang truoc
begin	bat dau, khoi dau
beginning	phan dau, luc bat dau, luc khoi dau
behalf	su thay mat
behave	doi xu, an o, cu xu
behaviour	cach doi xu, cach an o,tu cach dao duc
behind	sau, o dang sau
belief	long tin, duc tin, su tin tuong
believe	tin, tin tuong
bell	cai chuong, tieng chuong
belong	thuoc ve, cua, thuoc quyen so huu
below	o duoi, duoi thap, phia duoi
belt	day lung, that lung
bend	cho re, cho uon; khuyu tay; cui xuong, uon cong
beneath	o duoi, duoi thap
benefit	loi, loi ich; giup ich, lam loi cho
bent	khieu, so thich, khuynh huong
beside	ben canh, so voi
bet	danh cuoc, ca cuoc; su danh cuoc
betting	su danh cuoc
between	giua, o giua
beyond	o xa, phia ben kia
bicycle	xe dap
bid	dat gia, tra gia; su dat gia, su tra gia
big	to, lon
bill	hoa don, giay bac
bin	thung, thung dung ruou
biology	sinh vat hoc
bird	chim
birth	su ra doi, su sinh de
birthday	ngay sinh, sinh nhat
biscuit	banh quy
bit	mieng, manh
bite	can, ngoam; su can, su ngoam
bitter	dang; dang cay, chua xot
bitterly	dang, dang cay, chua xot
black	den; mau den
blade	luoi (dao, kiem); la (co, cay); mai (cheo); canh (chong chong)
blame	khien trach, mang trach; su khien trach, su mang trach
blank	trong, de trang; su trong rong
blankly	ngay ra, khong co than
blind	dui, mu
block	khoi, tang (da); lam ngan can, ngan chan
blond	vang hoe
blonde	co gai toc hoe, nguoi dan ba toc hoe
blood	mau, huyet; su tan sat, chem giet
blow	no hoa; su no hoa
blue	xanh, mau xanh
board	tam van; lat van, lot van
boat	tau, thuyen
body	than the, than xac
boil	soi, luoc
bomb	qua bom; danh bom, tha bom
bone	xuong
book	sach; ghi chep
boot	giay ong
border	bo, mep, via, le (duong)
bore	buon chan, buon te
bored	buon chan
boring	buon chan
born	sinh, de
borrow	vay, muon
boss	ong chu, thu truong
both	ca hai
bother	lam phien, quay ray, lam buc minh
bottle	chai, lo
bottom	phan duoi cung, thap nhat; cuoi, cuoi cung
bound	nhat dinh, chac chan
bowl	cai bat
box	hop, thung
brain	oc nao; dau oc, tri nao
branch	nganh; nhanh cay, nhanh song, nga duong
brand	nhan (hang hoa)
brave	gan da, can dam
bread	banh my
break	be gay, dap vo; su gay, su vo
breakfast	bua diem tam, bua sang
breast	nguc, vu
breath	hoi tho, hoi
breathe	hit, tho
breathing	su ho hap, su tho
breed	nuoi duong, cham soc, giao duc; sinh de; noi giong
brick	gach
bridge	cai cau
brief	ngan, gon, van tat
briefly	ngan, gon, van tat, tom tat
bright	sang, sang choi
brightly	sang choi, tuoi
brilliant	toa sang, ruc ro, choi loi
bring	mang, cam , xach lai
broad	rong
broadcast	tung ra khap noi,truyen rong rai; phat thanh,quang ba
broadly	rong, rong rai
broken	bi gay, bi vo
brown	nau, mau nau
brush	ban chai; chai, quet
bubble	bong bong, bot, tam
budget	ngan sach
build	xay dung
building	su xay dung, cong trinh xay dung; toa nha
bullet	dan (sung truong, sung luc)
bunch	bui, chum, bo, cum, buong; bay, dan
burn	dot, dot chay, thap, nung, thieu
burnt	bi dot, bi chay, khe; ram nang, sam (da)
burst	no, no tung (bom, dan); no, vo (bong bong); hao huc
bury	chon cat, mai tang
bush	bui cay, bui ram
business	viec buon ban, thuong mai, kinh doanh
businessman	thuong nhan (nam)
businesswoman	thuong nhan (nu)
busy	ban, ban ron
butter	bo
button	cai nut, cai khuy, cuc
buy	mua
buyer	nguoi mua
by	boi, bang
by means of	bang phuong tien
cabinet	tu co nhieu ngan dung do
cable	day cap
cake	banh ngot
calculate	tinh toan
calculation	su tinh toan
call	goi; tieng keu, tieng goi
calm	yen lang, lam diu di; su yen lang, su em a
calmly	yen lang, em a; binh tinh, diem tinh
camp	trai, cho cam trai; cam trai, ha trai
campaign	chien dich, cuoc van dong
camping	su cam trai
can	co the; nha tu, nha giam, binh, ca dung
cancel	huy bo, xoa bo
cancer	benh ung thu
candidate	nguoi ung cu, thi sinh, nguoi du thi
candy	keo
cap	mu luoi trai, mu va
capable of	co tai, co nang luc; co kha nang, ca gan
capacity	nang luc, kha nang tiep thu, nang suat
capital	thu do, tien von; chu yeu, chinh yeu, co ban
captain	nguoi cam dau, nguoi chi huy, thu linh
capture	bat giu, bat; su bat giu, su bi bat
card	the, thiep
cardboard	bia cung, cac tong
care	su cham soc, cham nom; cham soc
care for	trong nom, cham soc
career	nghe nghiep, su nghiep
careful	can than, can trong, biet giu gin
carefully	can than, chu dao
careless	so suat, cau tha
carelessly	cau tha, bat can
carpet	tam tham, tham (co)
carrot	cu ca rot
carry	mang, vac, khuan cho
case	vo, ngan, tui
cash	tien, tien mat
cast	quang, nem, tha, danh guc; su quang, su nem (luoi), su tha (neo)
castle	thanh tri, thanh quach
catch	bat lay, nam lay, tom lay, chop lay
category	hang, loai; pham tru
cause	nguyen nhan, nguyen do; gay ra, gay nen
cease	dung, ngung, ngot, thoi, het, tanh
ceiling	tran nha
celebrate	ky niem, lam le ky niem; tan duong, ca tung
celebration	su ky niem, le ky niem; su tan duong, su ca tung
cell	o, ngan
cellphone	dien thoai di dong
cent	dong xu
centimetre	xen ti met
central	trung tam, o giua, trung uong
centre	diem giua, trung tam, trung uong
century	the ky
ceremony	nghi thuc, nghi le
certain	chac chan
certainly	chac chan, nhat dinh
certificate	giay chung nhan, bang, chung chi
chain	day, xich; xinh lai, troi lai
chair	ghe
chairman	chu tich, chu toa
chairwoman	nu chu tich
challenge	su thu thach, su thach thuc; thach thuc, thu thach
chamber	buong, phong, buong ngu
chance	su may man
change	thay doi, su thay doi, su bien doi
channel	kenh (TV, radio), eo bien
chapter	chuong (sach)
character	tinh cach, dac tinh, nhan vat
characteristic	rieng, rieng biet, dac trung, dac tinh, dac diem
charge	nhiem vu, bon phan, trach nhiem; giao nhiem vu, giao viec
charity	long tu thien, long nhan duc; su bo thi
chart	do thi, bieu do; ve do thi, lap bieu do
chase	san bat; su san bat
chat	noi chuyen, tan gau; chuyen phiem, chuyen gau
cheap	re
cheaply	re, re tien
cheat	lua, lua dao; tro lua dao, tro gian lan
check	kiem tra; su kiem tra
cheek	ma
cheerful	vui mung, phan khoi, ho hoi
cheerfully	vui ve, phan khoi
cheese	pho mat
chemical	thuoc hoa hoc; chat hoa hoc, hoa chat
chemist	nha hoa hoc
chemistry	hoa hoc, mon hoa hoc, nganh hoa hoc
cheque	sec
chest	tu, ruong, hom
chew	nhai, ngam nghi
chicken	ga, ga con, thit ga
chief	trong yeu, chinh yeu; thu linh, lanh tu, nguoi dung dau, sep
child	dua be, dua tre
chin	cam
chip	vo bao, manh vo, cho sut, me
choice	su lua chon
choose	chon, lua chon
chop	chat, don, che
church	nha tho
cigarette	dieu thuoc la
circle	duong tron, hinh tron
circumstance	hoan canh, truong hop, tinh huong
citizen	nguoi thanh thi
city	thanh pho
civil	cong dan
claim	doi hoi, yeu sach; su doi hoi, su yeu sach, su thinh cau
clap	vo, vo tay; tieng no, tieng vo tay
classic	co dien, kinh dien
clean	sach, sach se
clear	lau chui, quet don
clearly	ro rang, sang sua
clerk	thu ky, linh muc, muc su
clever	lanh loi, thong minh. tai gioi, kheo leo
click	lam thanh tieng lach cach; tieng lach cach, cu nhap (chuot)
client	khach hang
climate	khi hau, thoi tiet
climb	leo, treo
climbing	su leo treo
clock	dong ho
close	gan (mqh), than thiet,chat che, dong, khep, ket thuc
closed	bao thu, khong coi mo, khep kin
closely	gan gui, than mat, chat che, ky luong, ti mi
closet	buong, phong de do, phong kho
cloth	vai, khan trai ban, ao thay tu
clothes	quan ao
clothing	quan ao, y phuc
cloud	may, dam may
club	cau lac bo; gay, dui cui
coach	huan luyen vien
coal	than da
coast	su lao doc; bo bien
coat	ao choang
code	mat ma, luat, dieu le
coin	tien kim loai
cold	lanh, su lanh leo, lanh nhat
coldly	lanh nhat, ho hung, vo tam
collapse	do, sup do; su do nat, su sup do
colleague	ban dong nghiep
collect	suu tap, tap trung lai
collection	su suu tap, su tu hop
college	truong cao dang
colour	mau sac; to mau
coloured	mang mau sac, co mau sac
column	cot , muc (bao)
combination	su ket hop, su phoi hop
combine	ket hop, phoi hop
come	den, toi, di den, di toi
comedy	hai kich
comfort	su an ui, khuyen giai, loi dong vien, su an nhan
comfortable	thoai mai, tien nghi, day du
comfortably	de chiu, thoai mai, tien nghi, am cung
command	ra lenh, chi huy; lenh, menh lenh, quyen ra lenh, quyen chi huy
comment	loi binh luan, loi chu giai; binh luan, phe binh, chu thich, dan giai
commercial	buon ban, thuong mai
commission	hoi dong, uy ban, su uy nhiem, su uy thac,
commit	giao, gui, uy nhiem, uy thac; tong giam, bo tu
commitment	su pham toi, su tan tuy, tan tam
committee	uy ban
common	cong, cong cong, thong thuong, pho bien
commonly	thong thuong, binh thuong
communicate	truyen, truyen dat; giao thiep, lien lac
communication	su giao tiep, lien lac, su truyen dat, truyen tin
community	dan chung, nhan dan
company	cong ty
compare	so sanh, doi chieu
comparison	su so sanh
compete	dua tranh, ganh dua, canh tranh
competition	su canh tranh, cuoc thi, cuoc thi dau
competitive	canh tranh, dua tranh
complain	phan nan, keu ca
complaint	loi than phien, than tho; su khieu nai, don kien
complete	hoan thanh, xong
completely	hoan thanh, day du, tron ven
complex	phuc tap, rac roi
complicate	lam phuc tap, rac roi
complicated	phuc tap, rac roi
computer	may tinh
concentrate	tap trung
concentration	su tap trung, noi tap trung
concept	khai niem
concern	lien quan, dinh liu toi; su lien quan, su dinh liu toi
concerned	co lien quan, co dinh liu
concerning	bang khuang, ai ngai
concert	buoi hoa nhac
conclude	ket luan, ket thuc, cham dut (cong viec)
conclusion	su ket thuc, su ket luan, phan ket luan
concrete	bang be tong; be tong
condition	dieu kien, tinh canh, tinh the
conduct	dieu khien, chi dao, chi huy; su dieu khien, chi huy
conference	hoi nghi, su ban bac
confidence	long tin tuong, su tin cay
confident	tin tuong, tin cay, tu tin
confidently	tu tin
confine	giam giu, han che
confined	han che, gioi han
confirm	xac nhan, chung thuc
conflict	xung dot, va cham; su xung dot, su va cham
confront	doi mat, doi dien, doi chieu
confuse	lam lon xon, xao tron
confused	boi roi, lung tung, nguong
confusing	kho hieu, gay boi roi
confusion	su lon xon, su roi loan
congratulations	su chuc mung, khen ngoi; loi chuc mung, khen ngoi
congress	dai hoi, hoi nghi, Quoc hoi
connect	ket noi, noi
connection	su ket noi, su giao ket
conscious	tinh tao, co y thuc, biet ro
consequence	ket qua, hau qua
conservative	than trong, de dat, bao thu
consider	can nhac, xem xet; de y, quan tam, luu y den
considerable	lon lao, to tat, dang ke
considerably	dang ke, lon lao, nhieu
consideration	su can nhac, su xem xet, su de y, su quan tam
consist of	gom co
constant	kien tri, ben long
constantly	kien dinh
constantly	kien dinh
construct	xay dung
construction	su xay dung, cong trinh
consult	tra cuu, tham khao, tham do, hoi y kien
consumer	nguoi tieu dung
contact	su lien lac, su giao thiep; tiep xuc
contain	bao ham, chua dung, bao gom
container	cai dung, chua; cong te no
contemporary	duong thoi, duong dai
content	noi dung, su hai long
contest	cuoc thi, tran dau, cuoc tranh luan, cuoc chien dau,chien tranh
context	van canh, khung canh, pham vi
continent	luc dia, dai luc
continue	tiep tuc, lam tiep
continuous	lien tuc, lien tiep
continuously	lien tuc, lien tiep
contract	hop dong, su ky hop dong; ky ket
contrast	su tuong phan; lam tuong phan, trai nguoc
contrasting	tuong phan
contribute	dong gop, gop phan
contribution	su dong gop, su gop phan
control	su dieu khien, quyen hanh, quyen luc, quyen chi huy
controlled	duoc dieu khien, duoc kiem tra
convenient	tien loi, thuan loi, thich hop
conventio	hoi nghi, hiep dinh, quy uoc
conventional	quy uoc
conversation	cuoc dam thoai, cuoc tro chuyen
convert	doi, bien doi
convince	lam cho tin, thuyet phuc; lam cho nhan thuc thay
cook	nau an, nguoi nau an
cooker	lo, bep, noi nau
cookie	banh quy
cooking	su nau an, cach nau an
cool	mat me, diem tinh; lam mat
cope with	doi pho, duong dau
copy	ban sao, ban chep lai; su sao chep; sao chep, bat chuoc
core	nong cot, hat nhan; day long
corner	goc (tuong, nha, pho...)
correct	dung, chinh xac; sua, sua chua
correctly	dung, chinh xac
cost	gia, chi phi; tra gia, phai tra
cottage	nha tranh
cotton	bong, chi, soi
cough	ho, su ho, tieng hoa
coughing	ho
could	co the
council	hoi dong
count	dem, tinh
counter	quay hang, quay thu tien, may dem
country	nuoc, quoc gia, dat nuoc
countryside	mien que, mien nong thon
county	hat, tinh
couple	doi, cap
courage	can dam, su dung cam, dung khi
court	san, san (tennis...), toa an, quan toa, phien toa
cousin	anh em ho
cover	bao boc, che phu; vo, vo boc
covered	co mai che, kin dao
cow	con bo cai
crack	cu, xuat sac; lam nut, lam vo, nut ne, ran nut
cracked	ran, nut
craft	nghe, nghe thu cong
crash	vai tho; su roi (may bay), su pha san, sup do; pha tan tanh
crazy	dien, mat tri
cream	kem
create	sang tao, tao nen
creature	sinh vat, loai vat
credit	su tin, long tin, danh tieng; tien gui ngan hang
credit card	the tin dung
crime	toi, toi ac, toi pham
criminal	co toi, pham toi; ke pham toi, toi pham
crisis	su khung hoang, con khung hoang
crisp	gion
criterion	tieu chuan
critical	phe binh, phe phan; kho tinh
criticism	su phe binh, su phe phan, loi phe binh, loi phe phan
criticize	phe binh, phe phan, chi trich
crop	vu mua
cross	cay Thanh Gia, noi thong kho; su bang qua; bang qua, vuot qua
crowd	dam dong
crowded	dong duc
crown	vuong mien, vua, ngai vang; dinh cao nhat
crucial	quyet dinh, cot yeu, chu yeu
cruel	doc ac, du ton, tan nhan
crush	ep, vat, de nat, de bep
cry	khoc, keu la; su khoc, tieng khoc, su keu la
cultural	van hoa
culture	van hoa, su mo mang, su giao duc
cup	tach, chen
cupboard	1 loai tu co ngan
curb	kiem che, nen lai, han che
cure	chua tri, dieu tri; cach chua benh, cach dieu tri; thuoc
curious	ham muon, to mo, la lung
curiously	to mo, hieu ky, la ky
curl	quan, xoan, uon quan, lam xoan; su uon quan
curly	quan, xoan
current	hien hanh, pho bien, hien nay; dong (nuoc), luong (gio)
currently	hien thoi, hien nay
curtain	man (cua, rap hat, khoi, suong)
curve	duong cong, duong vong; cong, uon cong, be cong
curved	cong
custom	phong tuc, tuc le, thoi quen, tap quan
customer	khach hang
customs	thue nhap khau, hai quan
cut	cat, chat; su cat
cycle	chu ky, chu trinh, vong; quay vong theo chu ky, di xe dap
cycling	su di xe dap
daily	hang ngay
damage	moi hai, dieu hai, su thiet hai; lam hu hai, lam hong
damp	am, am uot, am thap
dance	su nhay mua, su khieu vu; nhay mua, khieu vu
dancer	dien vien mua, nguoi nhay mua
dancing	su nhay mua, su khieu vu
danger	su nguy hiem, moi hiem ngheo; nguy co, moi de doa
dangerous	nguy hiem
dare	dam, dam duong dau voi; thach
dark	toi, toi tam; bong toi, am muoi
data	so lieu, du lieu
date	ngay, ky, ky han, thoi ky, thoi dai; de ngay thang
daughter	con gai
day	ngay, ban ngay
dead	chet, tat
deaf	diec, lam thinh, lam ngo
deal	phan phat, phan phoi; su giao dich, thoa thuan mua ban
deal with	giai quyet
dear	than, than yeu, than men; kinh thua, thua
death	su chet, cai chet
debate	cuoc tranh luan, cuoc tranh cai; tranh luan, ban cai
debt	no
decade	thap ky, bo muoi, nhom muoi
decay	tinh trang suy tan, suy sup, tinh trang do nat
december	thang muoi hai, thang Chap
decide	quyet dinh, giai quyet, phan xu
decision	su quyet dinh, su giai quyet, su phan xu
declare	tuyen bo, cong bo
decline	su suy tan, su suy sup; suy sup, suy tan
decorate	trang hoang, trang tri
decoration	su trang hoang, do trang hoang, trang tri
decorative	de trang hoang, de trang tri, de lam canh
decrease	giam bot, lam suy giam, su giam di, su giam sut
deep	sau, kho luong, bi an
deeply	sau, sau xa, sau sac
defeat	danh thang, danh bai; su that bai (1 ke hoach), su tieu tan (hy vong)
defence	cai de bao ve, vat de chong do, su che cho
defend	che cho, bao ve, bao chua
define	dinh nghia
definite	xac dinh, dinh ro, ro rang
definitely	rach roi, dut khoat
definition	su dinh nghia, loi dinh nghia
degree	muc do, trinh do; bang cap; do
delay	su cham tre, su tri hoan, su can tro; lam cham tre
deliberate	than trong, co tinh toan, chu tam, co suy nghi can nhac
deliberately	than trong, co suy nghi can nhac
delicate	thanh nha, thanh tu, te nhi, kho xu
delight	su vui thich, su vui suong, dieu thich thu; lam vui thich, lam say me
delighted	vui mung, hai long
deliver	cuu khoi, thoat khoi, bay to, giai bay
delivery	su phan phat, su phan phoi, su giao hang; su bay to, phat bieu
demand	su doi hoi, su yeu cau; doi hoi, yeu cau
demonstrate	chung minh, giai thich; bay to, bieu lo
dentist	nha si
deny	tu choi, phan doi, phu nhan
department	cuc, so, ty, ban, khoa; gian hang, khu bay hang
departure	su roi khoi, su di, su khoi hanh
depend on	phu thuoc, tuy thuoc; dua vao, y vao, trong mong vao
deposit	vat gui, tien gui, tien dat coc; gui, dat coc
depress	lam chan nan, lam phien muon; lam suy giam
depressed	chan nan, that vong, phien muon; suy yeu, dinh tre
depressing	lam chan nan lam that vong, lam tri tre
depth	chieu sau, do day
derive	nhan duoc tu, lay duoc tu; xuat phat tu, bat nguon,chuyen hoa tu (from)
describe	dien ta, mieu ta, mo ta
description	su mo ta, su ta, su mieu ta
desert	sa mac; cong lao, gia tri; roi bo, bo tron
deserted	hoang vang, khong nguoi o
deserve	dang, xung dang
design	su thiet ke, ke hoach, de cuong. phac thao
desire	uoc muon; them muon, ao uoc
desk	ban (hoc sinh, viet, lam viec)
desperate	lieu mang, lieu linh; tuyet vong
desperately	lieu linh, lieu mang
despite	du, mac du, bat chap
destroy	pha, pha hoai, pha huy, tieu diet, triet pha
destruction	su pha hoai, su pha huy, su tieu diet
detail	chi tiet
detailed	can ke, ti mi, nhieu chi tiet
determination	su xac dinh, su dinh ro; su quyet dinh
determine	xac dinh, dinh ro; quyet dinh
determined	da duoc xac dinh, da duoc xac dinh ro
develop	phat trien, mo rong; trinh bay, bay to
development	su phat trien, su trinh bay, su bay to
device	ke sach; thiet bi, dung cu, may moc
devote	hien dang, danh het cho
devoted	hien cho, dang cho, danh cho; het long, nhiet tinh
diagram	bieu do
diamond	kim cuong
diary	so nhat ky; lich ghi nho
dictionary	tu dien
die	chet, tu tran, hy sinh
diet	che do an uong, che do an kieng
difference	su khac nhau
different	khac, khac biet, khac nhau
differently	khac, khac biet, khac nhau
difficult	kho, kho khan, gay go
difficulty	su kho khan, noi kho khan, dieu can tro
dig	dao boi, xoi
dinner	bua trua, chieu
direct	truc tiep, thang, thang than; gui, viet cho ai, dieu khien
direction	su dieu khien, su chi huy
directly	truc tiep, thang
director	giam doc, nguoi dieu khien, chi huy
dirt	do ban thiu, do do ban, vat rac ruoi
dirty	ban thiu, do ban
disabled	bat luc, khong co kha nang
disadvantage	su bat loi, su thiet hai
disagree	bat dong, khong dong y, khac, khong giong; khong hop
disagreement	su bat dong, su khong dong y, su khac nhau
disappear	bien mat, bien di
